기능,진행 여부,Method,Phase,Query Params,Request,Response,URL,담당자,도메인,설명
로그인,구현 완료,POST,Phase 1,,"Request Body:
{ ""email"": ""string"",
  ""password"": ""string"" }","Response (200 OK)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""string (BIGINT)"",
    ""email"": ""string"",
    ""nickname"": ""string""
  } }

※ user_id는 ERD v6.2에서 BIGINT. JSON은 문자열로 직렬화.",/api/v1/auth/login,한정수,사용자,이메일/비밀번호로 로그인하고 JWT 토큰을 받음
회원가입,구현 완료,POST,Phase 1,,"Request Body:
{ ""email"": ""string"",
  ""password"": ""string"",
  ""nickname"": ""string"" }","Response (201 Created)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": {
    ""user_id"": ""string (BIGINT)"",
    ""email"": ""string"",
    ""nickname"": ""string"",
    ""created_at"": ""ISO 8601""
  } }

※ user_id는 ERD v6.2에서 BIGINT(불변식 #1). JSON은 JS Number 정밀도 한계(2^53)를 피하기 위해 문자열로 직렬화.",/api/v1/auth/signup,한정수,사용자,이메일/비밀번호로 새 계정을 만듬
비밀번호 변경,구현 완료,PATCH,Phase 1,,"Request Body:
{ ""old_password"": ""string"",
  ""new_password"": ""string"" }","Response (200 OK)
{ ""message"": ""Password updated"" }",/api/v1/users/me/password,한정수,사용자,현재 비밀번호 확인 후 새 비밀번호로 변경
Google 소셜 로그인,구현 완료,POST,Phase 1,,"Request Body:
{ ""id_token"": ""string"" }","Response (200 OK)
{ ""access_token"": ""string"",
  ""token_type"": ""bearer"",
  ""user"": { ... },
  ""is_new_user"": true }",/api/v1/auth/google,한정수,사용자,Google 계정으로 바로 로그인. 첫 로그인 시 자동 회원가입
북마크 삭제,구현 완료,DELETE,Phase 1,,,Response (204 No Content),/api/v1/users/me/bookmarks/{bookmark_id},강민서,사용자,북마크 목록에서 특정 북마크를 삭제
북마크 생성,구현 완료,POST,Phase 1,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""pin_type"": ""place""|""event""|""course""|""analysis""|""general"",
  ""preview_text"": ""string"" }","Response (201 Created)
{ ""bookmark_id"": ""uuid"", ""pin_type"", ""preview_text"", ""created_at"" }",/api/v1/users/me/bookmarks,강민서,사용자,채팅 도중 특정 응답에 핀을 꼽아 북마크 저장
북마크 목록 조회,구현 완료,GET,Phase 1,"• thread_id (optional)
• pin_type (optional)
• cursor, limit (기본 20)",,"Response (200 OK)
{ ""items"": [{ ""bookmark_id"", ""thread_id"", ""thread_title"", ""message_id"", ""pin_type"", ""preview_text"", ""created_at"" }],
  ""next_cursor"" }",/api/v1/users/me/bookmarks,강민서,사용자,북마크 탭에 표시할 목록. 대화별/핀타입별 필터 가능
SSE: 이미지 검색 (IMAGE_SEARCH),,GET,Phase 1,,GET /api/v1/chat/stream?query=(이미지 URL),"식별 성공: intent → text_stream → place → done
유사 추천: intent → text_stream → places[] → done
간판 복수: intent → disambiguation[] → done",/api/v1/chat/stream,강민서,채팅,Gemini Vision 이미지 기반 장소 식별
SSE: 일정 추가 (CALENDAR),구현 완료,GET,Phase 1,,GET /api/v1/chat/stream?query=토요일 2시 경복궁 일정 추가,"intent → text_stream → calendar → done

calendar: { event_title, start_time, end_time, location, calendar_link, status }",/api/v1/chat/stream,강민서,채팅,Google Calendar MCP로 일정 추가
SSE: 예약 연동 (BOOKING),구현 완료,GET,Phase 1,,GET /api/v1/chat/stream?query=여기 예약해줘,intent → text_stream(딥링크) → done,/api/v1/chat/stream,강민서,채팅,네이버예약/카카오맵 등 딥링크 제공
SSE: 비용 견적 (COST_ESTIMATE),,GET,Phase 2,,GET /api/v1/chat/stream?query=강남 이탈리안 2인 얼마?,"intent → status → text_stream → done

예상 비용 텍스트 스트리밍",/api/v1/chat/stream,정조셉,채팅,3단계 가격 추정 (price_level + Blog 정규식 + fallback)
SSE: 혼잡도 (CROWDEDNESS),진행중,GET,Phase 1,,GET /api/v1/chat/stream?query=홍대 지금 사람 많아?,"intent → text_stream → done

생활인구 데이터 기반 혼잡도 텍스트",/api/v1/chat/stream,정조셉,채팅,population_stats 기반 혼잡도 분석
SSE: 리뷰 비교 (REVIEW_COMPARE),구현 완료,GET,Phase 1,,GET /api/v1/chat/stream?query=스타벅스 vs 블루보틀 비교,"intent → status → text_stream → chart → analysis_sources → done

chart: { chart_type: ""radar"", places: [{ name, scores: {6지표} }] }",/api/v1/chat/stream,정조셉,채팅,6지표 레이더차트 비교
AI 응답 피드백,,POST,Phase 2,,"Request Body:
{ ""thread_id"": ""string"",
  ""message_id"": ""string"",
  ""rating"": ""up""|""down"",
  ""comment"": ""string""|null }","Response (201 Created)
{ ""feedback_id"": ""uuid"", ""rating"", ""created_at"" }",/api/v1/feedback,,채팅,AI 응답에 피드백. 응답 품질 개선 데이터 수집용
이미지 업로드,진행중,POST,Phase 1,,"Request Body:
multipart/form-data
{ file: 이미지 파일 (jpg/png/webp, 최대 10MB) }
Authorization: Bearer {token}","Response (200 OK)
{ ""image_url"": ""https://storage.googleapis.com/..."",
  ""expires_in_seconds"": 3600 }

• 지원 형식: jpg/png/webp
• 최대 10MB
• 1시간 유효 GCS signed URL
• 오류: 422(미지원 형식) / 413(10MB 초과) / 503(GCS 미설정)",/api/v1/upload/image,강민서,이미지 검색,사용자 이미지를 GCS uploads/ 폴더에 업로드 후 1시간짜리 signed URL 반환. FE가 URL을 chat stream query에 포함 → image_search_node가 URL로 이미지 다운로드. feat/#103.
